Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Wifi & Connectivity,Aircraft
Solo Leisure,Business Class,London to Rio De Janeiro,December 2019,5.0,5.0,5.0,5.0,4.0,5,yes,2.0,Boeing 787-9
Family Leisure,Economy Class,London to Athens,December 2019,3.0,1.0,1.0,,3.0,4,no,,A321neo
Solo Leisure,Economy Class,Copenhagen to London,December 2019,2.0,1.0,1.0,,1.0,1,no,,
Solo Leisure,Economy Class,Budapest to Billund via London,December 2019,3.0,3.0,2.0,1.0,4.0,3,yes,,A320
Solo Leisure,Economy Class,Cape Town to Brussels via London,December 2019,3.0,5.0,4.0,3.0,4.0,4,yes,3.0,
Solo Leisure,Economy Class,Sydney to Toulouse via Singapore / London,December 2019,5.0,5.0,5.0,2.0,4.0,5,yes,1.0,Boeing 777-300ER
Solo Leisure,Business Class,Sofia to London,October 2019,3.0,4.0,4.0,,3.0,4,yes,,A321neo
Couple Leisure,Business Class,Edinburgh to Barbados via Gatwick,December 2019,5.0,5.0,5.0,5.0,5.0,5,yes,,
Solo Leisure,Economy Class,London to Munich,December 2019,2.0,1.0,,,1.0,1,no,,A320
Family Leisure,Economy Class,Hong Kong to London,December 2019,,,,,,2,no,,
Couple Leisure,Economy Class,London to Paris,August 2019,2.0,2.0,,,1.0,1,no,,
Business,Economy Class,New York to London,December 2019,2.0,2.0,1.0,1.0,5.0,5,no,,Boeing 777 - 200
Family Leisure,Premium Economy,Austin to London,October 2019,,,,,,1,no,,
Couple Leisure,Economy Class,Frankfurt to London,December 2019,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Solo Leisure,Economy Class,London to Glasgow,December 2019,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Business,Business Class,London to San Francisco ,December 2019,3.0,5.0,4.0,4.0,5.0,4,yes,5.0,Boeing 747-400
Couple Leisure,Economy Class,Heathrow to Belfast,December 2019,2.0,5.0,5.0,,1.0,3,no,,A319
Solo Leisure,Business Class,London to Singapore,October 2019,4.0,5.0,5.0,1.0,5.0,5,yes,1.0,A380
Business,Economy Class,Toulouse to London,November 2019,1.0,1.0,,,3.0,1,no,,
Solo Leisure,Business Class,London Heathrow to Stockholm,November 2019,3.0,5.0,5.0,,5.0,4,yes,,A319
Family Leisure,Economy Class,Johannesburg to London,November 2019,1.0,3.0,3.0,3.0,2.0,1,no,,A380
Couple Leisure,Business Class,Johannesburg to London,December 2019,3.0,3.0,3.0,3.0,3.0,4,yes,,A380
Solo Leisure,First Class,London Heathrow to Miami,November 2019,4.0,5.0,5.0,5.0,5.0,5,yes,1.0,Boeing 747-400
Solo Leisure,Business Class,Stockholm to London Heathrow,November 2019,3.0,5.0,5.0,,5.0,4,yes,,A319
Couple Leisure,Economy Class,London to Sydney via Singapore,November 2019,3.0,4.0,4.0,2.0,3.0,4,yes,,Boeing 777-300
Couple Leisure,Business Class,London to New York JFK,November 2019,1.0,4.0,3.0,1.0,1.0,1,no,,Boeing 747-400
Solo Leisure,Business Class,Gatwick to Bridgetown,December 2019,3.0,2.0,3.0,3.0,3.0,2,no,,Boeing 777-200
Business,Business Class,Brussels to Bangkok via London,November 2019,4.0,2.0,2.0,3.0,4.0,3,no,,Boeing 777
Business,Economy Class,San Francisco to Oslo via London,November 2019,1.0,2.0,2.0,,1.0,1,no,,Boeing 777-200
Couple Leisure,Economy Class,Los Angeles to Berlin via London,November 2019,3.0,1.0,,,1.0,1,no,,
Couple Leisure,Business Class,London to Johannesburg ,November 2019,3.0,3.0,3.0,3.0,3.0,3,yes,,A380
Business,Premium Economy,London to Bangalore,November 2019,4.0,4.0,2.0,,2.0,2,no,,
Solo Leisure,Economy Class,London to Sydney via Singapore,November 2019,5.0,5.0,3.0,,5.0,5,yes,,
Solo Leisure,Economy Class,Lisbon to London,November 2019,1.0,,,,1.0,1,no,,
Solo Leisure,Economy Class,London Heathrow to Glasgow,November 2019,4.0,3.0,,,4.0,2,no,,
Family Leisure,Economy Class,doha to londonDoha to London,November 2019,5.0,5.0,4.0,4.0,5.0,5,yes,,Boeing 787-9
Family Leisure,Economy Class,London to Buenos Aires,November 2019,2.0,3.0,2.0,1.0,3.0,2,no,1.0,
Couple Leisure,Economy Class,San Francisco to London,November 2019,4.0,2.0,3.0,2.0,3.0,3,no,,A380
Business,Business Class,Sydney to Singapore,November 2019,1.0,1.0,1.0,1.0,2.0,1,no,1.0,Boeing 777-300
Family Leisure,Economy Class,London to Mauritius,November 2019,1.0,4.0,1.0,1.0,1.0,2,no,1.0,Boeing 777
Business,Business Class,Los Angeles to Amsterdam via London,November 2019,5.0,5.0,5.0,5.0,5.0,5,yes,5.0,
Solo Leisure,Economy Class,London to Vancouver,November 2019,2.0,2.0,2.0,1.0,2.0,3,no,,Boeing 747-400
Couple Leisure,Economy Class,New York to Paris via London,November 2019,1.0,1.0,1.0,1.0,1.0,1,no,2.0,Boeing 747-400
Couple Leisure,Business Class,London Heathrow to Lisbon,November 2019,4.0,1.0,2.0,,5.0,2,no,,A320
Solo Leisure,Economy Class,London to Boston,November 2019,4.0,4.0,4.0,4.0,4.0,3,yes,1.0,Boeing 777
Business,Economy Class,Tirana to London ,November 2019,4.0,5.0,3.0,5.0,5.0,5,yes,5.0,A320
Solo Leisure,Economy Class,Gatwick to St Lucia,November 2019,5.0,5.0,5.0,5.0,5.0,5,yes,,Boeing 747-400
Family Leisure,Economy Class,London to Singapore,November 2019,4.0,5.0,4.0,5.0,5.0,4,yes,,
Solo Leisure,Economy Class,London to San Francisco,November 2019,1.0,4.0,3.0,2.0,4.0,2,no,,
Couple Leisure,Business Class,Gatwick to Venice,September 2019,4.0,5.0,4.0,,5.0,4,yes,,A320
Couple Leisure,Economy Class,Bordeaux to Gatwick,September 2019,,,,,,1,no,,
Couple Leisure,Business Class,Seychelles to London,October 2019,5.0,5.0,5.0,5.0,4.0,5,yes,,Boeing 787-9
Couple Leisure,Economy Class,London to Belfast,October 2019,3.0,2.0,,,1.0,2,no,,A320
Business,Premium Economy,London to Cape Town,October 2019,,,,,1.0,1,no,,
Couple Leisure,Business Class,San Jose to London,October 2019,2.0,4.0,4.0,1.0,3.0,2,no,,Boeing 787
Solo Leisure,Economy Class,London Heathrow to Edinburgh,October 2019,1.0,3.0,1.0,,3.0,3,yes,,A321neo
Family Leisure,Economy Class,Gatwick to Barbados,October 2019,4.0,4.0,4.0,5.0,5.0,5,yes,5.0,Boeing 777-200
Couple Leisure,Economy Class,Toronto to London,October 2019,3.0,5.0,5.0,5.0,5.0,5,yes,,Boeing 777
Solo Leisure,Economy Class,Jeddah to London,October 2019,1.0,1.0,1.0,5.0,1.0,1,no,,
Business,Economy Class,Zurich to London,October 2019,1.0,1.0,,,2.0,3,no,,
Couple Leisure,Business Class,San Francisco to London,October 2019,5.0,5.0,5.0,4.0,5.0,4,yes,,A380
Solo Leisure,Business Class,London to Belfast,October 2019,5.0,5.0,5.0,,5.0,5,yes,,A319
Couple Leisure,Economy Class,London Gatwick to Salzburg ,April 2019,2.0,3.0,3.0,2.0,2.0,2,no,2.0,
Business,Economy Class,Frankfurt to London,October 2019,1.0,4.0,2.0,,1.0,1,no,,
Business,Economy Class,Hyderabad to San Francisco via London,October 2019,3.0,5.0,2.0,3.0,3.0,3,no,,
Business,Business Class,Vancouver to London,October 2019,4.0,1.0,1.0,4.0,3.0,2,no,,Boeing 747-400
Solo Leisure,Economy Class,London to Malaga,October 2019,1.0,1.0,,,1.0,1,no,,A320
Business,Economy Class,Brussels to London,October 2019,4.0,4.0,,,1.0,2,no,,A320
Couple Leisure,Premium Economy,London to Singapore,October 2019,1.0,1.0,1.0,,3.0,1,no,,Boeing 777
Solo Leisure,Premium Economy,Kuala Lumpur to Glasgow via London,October 2019,5.0,1.0,2.0,3.0,2.0,1,no,,Boeing 787
Couple Leisure,Business Class,London Heathrow to Seychelles,October 2019,5.0,5.0,5.0,5.0,5.0,5,yes,,Boeing 787-900
Couple Leisure,Economy Class,Edinburgh to London Heathrow,October 2019,3.0,3.0,,,1.0,1,no,,
Couple Leisure,Economy Class,Amman to London,September 2019,4.0,4.0,4.0,4.0,4.0,4,yes,,A321
Business,Economy Class,London to Athens,October 2019,3.0,2.0,,,4.0,2,no,,A320
Couple Leisure,Economy Class,New York JFK to London,October 2019,1.0,2.0,1.0,1.0,1.0,1,no,,Boeing 777
Couple Leisure,Premium Economy,Buenos Aires to London Heathrow,September 2019,1.0,3.0,1.0,1.0,4.0,1,no,,Boeing 777-200
Solo Leisure,Economy Class,Mexico City to Barcelona via London Heathrow,September 2019,5.0,4.0,4.0,4.0,4.0,3,yes,,"Boeing 787-9, A320-200"
Couple Leisure,Economy Class,Bari to London Gatwick,September 2019,4.0,5.0,4.0,,4.0,5,yes,,A319
Couple Leisure,Premium Economy,Abu Dhabi to London Heathrow,September 2019,1.0,3.0,1.0,,4.0,1,no,,Boeing 787
Couple Leisure,Economy Class,London Heathrow to Abu Dhabi,October 2019,5.0,5.0,5.0,4.0,5.0,4,yes,3.0,Boeing 787-900
Couple Leisure,Economy Class,Johannesburg to Amsterdam via London,September 2019,4.0,5.0,1.0,1.0,1.0,2,no,2.0,
Business,Business Class,Dubai to London Heathrow,September 2019,5.0,5.0,5.0,3.0,5.0,4,yes,4.0,A350
Solo Leisure,Economy Class,Istanbul to New York via London,October 2019,3.0,3.0,3.0,3.0,1.0,1,no,,
Couple Leisure,Economy Class,Rome to London Heathrow,October 2019,2.0,5.0,5.0,,5.0,5,yes,,
Business,Economy Class,London to Athens,October 2019,1.0,3.0,,,1.0,1,no,,A320
Solo Leisure,Economy Class,London Heathrow to Newcastle,October 2019,4.0,4.0,,,5.0,4,yes,,A320
Solo Leisure,Economy Class,Calgary to Gothenburg via London,September 2019,1.0,4.0,3.0,4.0,4.0,3,yes,,
Family Leisure,Economy Class,Kuala Lumpur to London,October 2019,5.0,5.0,5.0,5.0,5.0,5,yes,,Boeing 787-9
Couple Leisure,Business Class,Austin to London,October 2019,3.0,3.0,3.0,,3.0,4,yes,,Boeing 747
Couple Leisure,Premium Economy,London to Kuala Lumpur,August 2019,5.0,4.0,3.0,4.0,4.0,4,yes,4.0,Boeing 787
Couple Leisure,Premium Economy,Newark to Madrid via London,October 2019,3.0,3.0,1.0,3.0,3.0,3,no,1.0,
Couple Leisure,Business Class,Kos to Gatwick,October 2019,4.0,3.0,2.0,,1.0,3,no,2.0,
Business,Business Class,Gatwick to Alicante,September 2019,5.0,5.0,5.0,5.0,2.0,5,yes,,A320
Solo Leisure,Premium Economy,Vancouver to London,September 2019,5.0,5.0,4.0,4.0,4.0,4,yes,,A380
Couple Leisure,Economy Class,Gatwick to Alicante,September 2019,1.0,3.0,,,3.0,1,no,,
Couple Leisure,Business Class,London Heathrow to Austin,September 2019,4.0,5.0,4.0,2.0,3.0,5,yes,,Boeing 747
Couple Leisure,Business Class,London Heathrow to Austin,September 2019,4.0,4.0,4.0,1.0,4.0,4,yes,,Boeing 747
Couple Leisure,Economy Class,London Gatwick to Jersey,September 2019,,,,,,1,no,,
Couple Leisure,Business Class,Cephalonia to London ,September 2019,3.0,4.0,4.0,,3.0,3,yes,4.0,A320
Family Leisure,Economy Class,Chicago to Zurich via London,August 2019,1.0,4.0,1.0,1.0,1.0,3,no,,A380
Solo Leisure,Business Class,Glasgow to London,September 2019,4.0,5.0,5.0,,5.0,5,yes,,
Solo Leisure,Economy Class,London Heathrow to Berlin Tegel,September 2019,5.0,5.0,3.0,,3.0,5,yes,,A321
Couple Leisure,Business Class,London to Milan,September 2019,1.0,1.0,,,1.0,1,no,,
Business,Economy Class,London to Geneva,September 2019,4.0,2.0,1.0,,4.0,2,no,,EMB190
Couple Leisure,Business Class,Los Angeles to Istanbul via London,September 2019,2.0,4.0,1.0,,1.0,1,no,,
Family Leisure,Premium Economy,Phoenix to Tel Aviv via London,August 2019,3.0,5.0,3.0,3.0,1.0,1,no,1.0,
Couple Leisure,Business Class,London to Kefalonia ,September 2019,3.0,2.0,2.0,,3.0,3,no,,A320
Solo Leisure,Economy Class,London to Dublin,September 2019,2.0,5.0,,,1.0,3,no,,
Couple Leisure,Business Class,Hong Kong to London,September 2019,3.0,4.0,1.0,1.0,1.0,1,no,,
Couple Leisure,Economy Class,Gatwick to Seville,September 2019,3.0,3.0,,,1.0,1,no,,
Business,Economy Class,London Heathrow to Abuja Nigeria,September 2019,3.0,4.0,1.0,1.0,1.0,2,no,,Boeing 777-200
Solo Leisure,Economy Class,London to Bangkok,September 2019,2.0,3.0,4.0,1.0,4.0,3,no,,Boeing 777-300
Couple Leisure,Business Class,Belfast to San Francisco via London,August 2019,5.0,5.0,5.0,5.0,5.0,5,yes,,Boeing 747-400
Couple Leisure,Economy Class,London to Gothenburg,September 2019,4.0,4.0,,,4.0,4,yes,,A319
Family Leisure,Business Class,Orlando to Gatwick,July 2019,1.0,1.0,1.0,,1.0,1,no,,
Solo Leisure,Business Class,Mahe to Stockholm via London ,September 2019,1.0,2.0,2.0,4.0,1.0,2,no,,Boeing 787 / A320
Couple Leisure,Business Class,Glasgow to Tampa via Gatwick,September 2019,4.0,5.0,3.0,3.0,5.0,4,yes,,A319 / Boeing777
Family Leisure,Economy Class,Orlando to Gatwick,September 2019,2.0,3.0,1.0,4.0,3.0,1,no,,Boeing 777-200
Family Leisure,Economy Class,London to Abu Dhabi,August 2019,3.0,4.0,5.0,5.0,4.0,4,yes,,Boeing 787
Couple Leisure,Business Class,London to St Petersburgh,August 2019,1.0,3.0,1.0,,5.0,1,no,,A320
Business,Premium Economy,Sydney to London via Singapore,May 2019,4.0,2.0,1.0,2.0,4.0,3,no,3.0,Boeing 777
Couple Leisure,Business Class,London to Johannesburg,September 2019,1.0,1.0,,,1.0,1,no,,A380
Family Leisure,Business Class,Palma de Mallorca to London Heathrow,August 2019,1.0,3.0,2.0,,3.0,1,no,,
Family Leisure,Economy Class,Chennai to London,August 2019,5.0,5.0,4.0,4.0,5.0,5,yes,,
Solo Leisure,Economy Class,Edinburgh to Kuala Lumpur via London,July 2019,5.0,5.0,5.0,5.0,5.0,5,yes,,
Business,Business Class,London City to Amsterdam,July 2019,3.0,3.0,,,1.0,1,no,,
Solo Leisure,Economy Class,Dublin to Mauritius via London,February 2019,,,,,,1,no,,
Family Leisure,First Class,London to Shanghai,August 2019,5.0,5.0,4.0,3.0,5.0,5,yes,3.0,Boeing 777-200
Business,Business Class,Chicago to Heathrow via Barcelona,August 2019,3.0,3.0,3.0,4.0,1.0,3,no,4.0,
Family Leisure,Economy Class,New Orleans to London,November 2018,5.0,5.0,5.0,5.0,5.0,5,yes,5.0,
Family Leisure,Premium Economy,Boston to Copenhagen via London,June 2019,1.0,1.0,1.0,1.0,1.0,1,no,1.0,Boeing 747
Couple Leisure,Economy Class,Hong Kong to Copenhagen via London ,August 2019,3.0,2.0,,,1.0,2,no,,
Business,Business Class,London Gatwick to San Jose Costa Rica,July 2019,1.0,3.0,4.0,1.0,5.0,1,no,1.0,Boeing 777-200
Solo Leisure,Economy Class,London to Dubai,August 2019,3.0,4.0,3.0,3.0,1.0,3,no,,Boeing 777
Family Leisure,Business Class,Toronto to Pisa London Heathrow,August 2019,4.0,5.0,5.0,5.0,5.0,5,yes,,"A340-300, A320"
Family Leisure,Economy Class,London Heathrow to Venice Marco Polo,August 2019,4.0,5.0,,,4.0,4,yes,4.0,A320
Couple Leisure,Premium Economy,Chicago to London,August 2019,2.0,4.0,2.0,2.0,1.0,3,no,4.0,
Family Leisure,Economy Class,London to Larnaca,August 2019,1.0,3.0,,,2.0,1,no,,A321neo
Family Leisure,Economy Class,Gatwick to Orlando,July 2019,4.0,5.0,4.0,4.0,5.0,4,yes,,Boeing 777-200
Family Leisure,Economy Class,London to Munich,August 2019,4.0,4.0,,,2.0,3,yes,,A320
Business,Economy Class,London to Glasgow,June 2019,2.0,2.0,3.0,,1.0,1,no,,
Business,Business Class,London to Hong Kong,August 2019,1.0,5.0,3.0,3.0,4.0,1,no,,
Solo Leisure,Economy Class,Vienna to Heathrow,July 2019,4.0,5.0,5.0,3.0,5.0,4,yes,,A320
Couple Leisure,Business Class,Malaga to London ,August 2019,1.0,2.0,2.0,1.0,1.0,1,no,1.0,A321
Couple Leisure,Business Class,Sydney to Singapore,August 2019,1.0,4.0,3.0,3.0,1.0,1,no,1.0,
Solo Leisure,Economy Class,London Heathrow to Inverness,August 2019,2.0,3.0,,,1.0,1,no,,
Solo Leisure,Economy Class,Heathrow to Glasgow,August 2019,1.0,1.0,,,1.0,1,no,,
Solo Leisure,Economy Class,Inverness to Vancouver via London,August 2019,2.0,2.0,1.0,1.0,1.0,1,no,1.0,
Couple Leisure,Economy Class,London Heathrow to Brussels,August 2019,2.0,4.0,2.0,1.0,1.0,1,no,,
Solo Leisure,Economy Class,London to Nice,August 2019,,,,,1.0,1,no,,
Couple Leisure,Business Class,Palma to London Heathrow,August 2019,1.0,1.0,1.0,1.0,1.0,1,no,1.0,A320
Couple Leisure,Economy Class,London City to Ibiza,August 2019,3.0,2.0,1.0,,2.0,2,no,,
Family Leisure,Economy Class,London to Faro,August 2019,,,,,,1,no,,
Couple Leisure,Economy Class,Calgary to London,July 2019,3.0,1.0,1.0,4.0,5.0,3,no,,
Family Leisure,Economy Class,London Heathrow to Sofia,July 2019,5.0,5.0,4.0,,4.0,4,yes,,A321-200
Solo Leisure,Business Class,Nice to Kuwait via London,July 2019,1.0,1.0,,,1.0,1,no,,
Couple Leisure,Economy Class,Buenos Aires to London Heathrow,July 2019,3.0,5.0,4.0,2.0,4.0,4,yes,,Boeing 777
Family Leisure,Economy Class,Hong Kong to London,July 2019,4.0,3.0,3.0,3.0,2.0,3,yes,2.0,Boeing 777-300ER
Business,Premium Economy,London Heathrow to Las Vegas,July 2019,3.0,4.0,4.0,4.0,1.0,3,no,1.0,
Solo Leisure,Business Class,London Heathrow to Malaga,July 2019,2.0,1.0,1.0,,3.0,1,no,,A320
Business,Economy Class,London to Delhi,June 2019,1.0,1.0,3.0,2.0,3.0,2,no,,B777-200
Solo Leisure,Economy Class,Seattle to Durban via London,July 2019,4.0,5.0,3.0,4.0,5.0,5,yes,,
Family Leisure,Economy Class,London Heathrow to Austin,July 2019,1.0,3.0,1.0,1.0,3.0,2,no,1.0,Boeing 747-400
Business,Business Class,Mykonos to London,July 2019,2.0,1.0,,,1.0,1,no,,A320
Family Leisure,Economy Class,Johannesburg OR Tambo to Cape Town,July 2019,4.0,5.0,5.0,5.0,5.0,5,yes,,Boeing 737-800
Family Leisure,Economy Class,Grenada to Gatwick,July 2019,1.0,4.0,3.0,5.0,4.0,3,yes,,Boeing 777-200
Family Leisure,Economy Class,Prague to London,July 2019,1.0,1.0,,,1.0,1,no,,
Solo Leisure,Premium Economy,London to Dubai,July 2019,5.0,5.0,3.0,5.0,5.0,5,yes,5.0,Boeing 777
Family Leisure,Economy Class,Tel Aviv to Toronto via London,July 2019,4.0,5.0,4.0,4.0,4.0,5,yes,,
Solo Leisure,Business Class,Heathrow to Manchester,July 2019,2.0,3.0,,,1.0,1,no,,A321
Solo Leisure,Business Class,Brussels to Larnaca via London,June 2019,3.0,4.0,4.0,,4.0,4,yes,,A320
Couple Leisure,Business Class,Stockholm to London,July 2019,2.0,1.0,1.0,,3.0,1,no,,A320
Business,Business Class,Toronto to London,July 2019,2.0,1.0,3.0,,1.0,1,no,,
Family Leisure,Premium Economy,Orlando to London,July 2019,3.0,4.0,1.0,3.0,3.0,3,yes,1.0,Boeing 737
Couple Leisure,Business Class,Lisbon to London,July 2019,1.0,1.0,1.0,,2.0,1,no,,A320
Solo Leisure,Economy Class,Heathrow to Marseille,September 2018,1.0,1.0,1.0,1.0,1.0,1,no,1.0,A320
Business,Business Class,Madrid to London,July 2019,3.0,1.0,,,1.0,1,no,,A320
Family Leisure,Economy Class,Gatwick to Glasgow,July 2019,1.0,1.0,,,1.0,1,no,,
Couple Leisure,Economy Class,Frankfurt to London,July 2019,3.0,1.0,,,1.0,1,no,,
Couple Leisure,Economy Class,London to Olbia,July 2019,2.0,1.0,1.0,,2.0,1,no,1.0,
Solo Leisure,Economy Class,Rotterdam to London City,July 2019,3.0,4.0,3.0,,1.0,2,no,,
Business,Economy Class,Dublin to London,July 2019,4.0,4.0,,,4.0,4,yes,,A320 neo
Couple Leisure,Economy Class,Barbados to Gatwick,July 2019,3.0,1.0,1.0,4.0,3.0,3,no,,B777-200
Solo Leisure,Economy Class,London Heathrow to Singapore,June 2019,5.0,5.0,5.0,5.0,5.0,5,yes,,A380
Business,Economy Class,Madrid to London Heathrow,June 2019,1.0,1.0,1.0,,1.0,1,no,,A321
Solo Leisure,Economy Class,London Heathrow to Oslo,June 2019,4.0,5.0,5.0,,4.0,4,yes,,
Business,Economy Class,Hamburg to Abu Dhabi via London Heathrow,June 2019,1.0,2.0,2.0,2.0,1.0,3,no,1.0,A319 / Boeing 789
Solo Leisure,Economy Class,New York to Glasgow via London,June 2019,3.0,3.0,3.0,4.0,3.0,4,yes,,Boeing 777-200 and A319
Family Leisure,Economy Class,London Heathrow to New York ,June 2019,5.0,5.0,5.0,1.0,5.0,5,yes,5.0,
Family Leisure,Business Class,Gatwick to Bermuda,June 2019,4.0,5.0,5.0,5.0,3.0,5,yes,2.0,Boeing 777-200
Couple Leisure,Business Class,London Heathrow to Larnaca,June 2019,4.0,5.0,5.0,,5.0,5,yes,,A320
Couple Leisure,Economy Class,Gatwick to Cagliari,June 2019,3.0,2.0,1.0,,4.0,1,yes,,A320-200
Couple Leisure,Economy Class,Heathrow to Kalamata,June 2019,5.0,4.0,3.0,,3.0,3,yes,,A320
Business,Economy Class,London to Gothenburg,June 2019,,,,,2.0,2,no,,
Solo Leisure,Economy Class,Amsterdam to London,February 2019,,,,,1.0,1,no,,A320
Business,Economy Class,Istanbul to London,June 2019,1.0,4.0,2.0,,4.0,3,yes,,A321 Neo
Family Leisure,Economy Class,Manchester to Kuala Lumpur via London ,October 2018,2.0,2.0,2.0,4.0,3.0,3,no,3.0,A321 / Boeing 787-9
Solo Leisure,Economy Class,London to Dusseldorf,January 2019,3.0,3.0,3.0,,5.0,4,no,,
Solo Leisure,Business Class,London to Seoul ,June 2019,1.0,1.0,2.0,1.0,1.0,1,no,1.0,Boeing 787
Solo Leisure,Economy Class,London to Vancouver,June 2019,2.0,4.0,4.0,2.0,3.0,3,no,1.0,A380
Solo Leisure,Economy Class,Newcastle to Delhi via London,June 2019,2.0,2.0,2.0,1.0,1.0,1,no,,
Business,Business Class,Miami to Delhi via London Heathrow,June 2019,1.0,3.0,3.0,,2.0,1,no,,Boeing 747
Solo Leisure,Economy Class,London to Sydney via Singapore,June 2019,3.0,3.0,1.0,5.0,1.0,2,no,,
Couple Leisure,Economy Class,Phoenix to Amsterdam via London,May 2019,1.0,3.0,1.0,1.0,4.0,3,no,,
Solo Leisure,Economy Class,Tel Aviv to New York via London,June 2019,3.0,4.0,1.0,5.0,3.0,3,no,,Boeing 777 / 747
Solo Leisure,Economy Class,Belfast  to Atlanta via London,April 2019,3.0,4.0,2.0,3.0,3.0,2,no,,A319 / Boeing 777
Family Leisure,Economy Class,Buenos Aires to London,June 2019,5.0,5.0,,5.0,5.0,5,yes,,
Business,Business Class,London to Nashville,May 2019,1.0,1.0,1.0,1.0,1.0,1,no,1.0,Boeing 787-9
Solo Leisure,First Class,London to Washington,June 2019,5.0,5.0,5.0,3.0,5.0,5,yes,,B747-400 in retro
Couple Leisure,Economy Class,Newcastle to Berlin via London,June 2019,3.0,3.0,,,1.0,1,no,,
Family Leisure,Economy Class,Gatwick to Madrid,May 2019,2.0,2.0,,,1.0,1,no,,
Couple Leisure,Economy Class,London to Tampa,May 2019,1.0,1.0,1.0,1.0,1.0,1,no,,
Business,Economy Class,London to Bengaluru,June 2019,4.0,3.0,4.0,3.0,3.0,4,yes,3.0,
Couple Leisure,First Class,London to Delhi,May 2019,4.0,5.0,4.0,4.0,4.0,4,yes,3.0,
Couple Leisure,Economy Class,London Heathrow to Dubai,May 2019,,,,,,1,no,,
Couple Leisure,Economy Class,London to Seattle,May 2019,4.0,5.0,4.0,,5.0,5,yes,,Boeing 747
Couple Leisure,Economy Class,Johannesburg to London,May 2019,3.0,4.0,3.0,5.0,4.0,5,no,,
Business,Economy Class,London to Milan,May 2019,3.0,5.0,3.0,,4.0,3,yes,,A319/A320
Couple Leisure,Business Class,Durban to Leeds via Johannesburg / Heathrow,May 2019,4.0,5.0,5.0,5.0,5.0,5,yes,,B737-400 / A380 / A319
Couple Leisure,Business Class,London Heathrow to Los Angeles,May 2019,4.0,5.0,5.0,5.0,5.0,4,yes,,Boeing 787
Couple Leisure,Business Class,Cape Town to London Heathrow,May 2019,3.0,4.0,4.0,3.0,4.0,3,yes,,Boeing 744
Business,Economy Class,Sofia to Belfast via London,May 2019,1.0,1.0,1.0,,1.0,1,no,,A321
Couple Leisure,Economy Class,Lima to Gatwick,May 2019,2.0,4.0,4.0,1.0,4.0,3,no,,Boeing 777-200
Solo Leisure,Economy Class,Inverness to Auckland via Singapore,May 2019,1.0,5.0,4.0,4.0,4.0,2,no,1.0,
Solo Leisure,Business Class,Heathrow to Singapore,May 2019,3.0,3.0,2.0,4.0,3.0,3,no,,
Business,Economy Class,Lyon to London,May 2019,4.0,3.0,2.0,,1.0,3,no,,
Couple Leisure,Economy Class,Gatwick to Barbados,May 2019,3.0,1.0,2.0,4.0,3.0,3,no,,Boeing 777-200
Couple Leisure,Economy Class,Marseille to London,May 2019,3.0,1.0,3.0,,1.0,2,no,,
Family Leisure,Business Class,London to Chennai,May 2019,4.0,5.0,5.0,5.0,5.0,4,yes,,
Solo Leisure,Economy Class,Gatwick to Malaga,May 2019,5.0,5.0,4.0,,4.0,5,yes,,A320
Solo Leisure,Economy Class,Boston to London Heathrow,May 2019,4.0,4.0,3.0,3.0,4.0,4,yes,,A380 / Boeing 777
Couple Leisure,First Class,London to Cape Town,May 2019,4.0,4.0,4.0,3.0,3.0,3,yes,,Boeing 747-400
Couple Leisure,Economy Class,New York to Heathrow ,May 2019,3.0,5.0,3.0,5.0,2.0,3,yes,,
Business,Economy Class,London to Aberdeen,May 2019,2.0,2.0,,,1.0,1,no,,A321
Business,Business Class,Gatwick to Dubrovnik,May 2019,1.0,3.0,,,1.0,1,no,,A319
Couple Leisure,Premium Economy,London to Shanghai,March 2019,1.0,1.0,1.0,1.0,1.0,1,no,,
Business,Business Class,Faro to Heathrow,May 2019,3.0,4.0,4.0,,1.0,2,no,,A320
Couple Leisure,Economy Class,Vancouver to London,May 2019,4.0,5.0,4.0,3.0,4.0,4,yes,4.0,A380
Couple Leisure,Business Class,Gatwick to Tenerife,May 2019,1.0,4.0,1.0,,1.0,1,no,,
Business,First Class,Washington to London,May 2019,4.0,4.0,4.0,4.0,3.0,4,yes,1.0,Boeing 747 400
Solo Leisure,Economy Class,Rome Fiumicino to London City,May 2019,5.0,5.0,5.0,,5.0,5,yes,,Embraer
Business,Business Class,London to Shanghai,April 2019,2.0,1.0,1.0,1.0,3.0,2,no,,Boeing 777-200
Couple Leisure,Economy Class,Seattle to London,May 2019,3.0,5.0,2.0,2.0,1.0,1,no,,
Business,Economy Class,London City to Zurich,April 2019,5.0,5.0,5.0,,4.0,5,yes,,
Couple Leisure,Economy Class,Bucharest to London,April 2019,3.0,3.0,,,1.0,1,no,,
Solo Leisure,Business Class,London to Calgary,December 2018,5.0,5.0,5.0,5.0,1.0,5,yes,,Boeing 787
Couple Leisure,Business Class,Vancouver to London,April 2019,5.0,5.0,5.0,5.0,5.0,5,yes,,Boeing 747
Couple Leisure,Business Class,Miami to London Heathrow,April 2019,4.0,5.0,4.0,3.0,4.0,4,yes,,
